u,v,key,osmid,highway,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction,Groups
122130620,122130628,0,500852883,tertiary,North Waco Street,False,False,203.4909026451767,203.4909026451768,1.558975747528482,0.0002694691457828,"LINESTRING (-97.342 37.720751, -97.3420006 37.7208206, -97.3420084 37.7216786, -97.3420116 37.7222717, -97.3420136 37.7225191, -97.342014 37.722581)",,,,,,,,B
122130628,122130620,0,500852883,tertiary,North Waco Street,False,True,203.4909026451768,203.4909026451767,1.5589757475284818,0.0002694691457828,"LINESTRING (-97.342014 37.722581, -97.3420136 37.7225191, -97.3420116 37.7222717, -97.3420084 37.7216786, -97.3420006 37.7208206, -97.342 37.720751)",,,,,,,,B
122130808,122130812,0,13235645,residential,South Pattie Street,False,False,95.29617798700964,95.29617798700964,1.531539109566329,7.742698366697391e-05,"LINESTRING (-97.322381 37.678418, -97.322374 37.677561)",,,,,,,,C
122130808,122419682,0,13271307,residential,East Kellogg Drive South,False,False,127.69874475414824,127.69874475414824,1.4557866522986609,0.0060956680837402,"LINESTRING (-97.322381 37.678418, -97.3214498 37.6784225, -97.32093 37.678425)",,,,,,,,C
122130808,122487501,0,13271307,residential,East Kellogg Drive South,False,True,131.34918316548277,131.34918316548277,1.533613333665144,0.0037559350397775,"LINESTRING (-97.322381 37.678418, -97.322977 37.678411, -97.323365 37.678332, -97.323388 37.678327, -97.323741 37.678167, -97.32379 37.678133)",,,,,,,,C
122130812,122130815,0,13235645,residential,South Pattie Street,False,False,159.56788181092156,159.56788181092156,1.7290964845161425,6.333614423789985e-05,"LINESTRING (-97.322374 37.677561, -97.322363 37.676126)",,,,,,,,C
122130812,122130808,0,13235645,residential,South Pattie Street,False,True,95.29617798700964,95.29617798700964,1.531539109566328,8.229340759350979e-05,"LINESTRING (-97.322374 37.677561, -97.322381 37.678418)",,,,,,,,C
122130812,122487505,0,13270210,residential,East Orme Street,False,True,114.76996908589122,114.76996908589122,1.772674176584755,0.0001513675740731,"LINESTRING (-97.322374 37.677561, -97.323678 37.677548)",,,,,,,,C
122130812,122419684,0,13270210,residential,East Orme Street,False,False,126.35296608425844,126.35296608425844,1.5634620474016,3.63165964666857e-07,"LINESTRING (-97.322374 37.677561, -97.321606 37.677537, -97.320939 37.677547)",,,,,,,,C
122130815,122130812,0,13235645,residential,South Pattie Street,False,True,159.56788181092156,159.56788181092156,1.7290964845161425,6.834783455030248e-05,"LINESTRING (-97.322363 37.676126, -97.322374 37.677561)",,,,,,,,C
122130815,122218642,0,13243806,residential,East Indianapolis Street,False,False,99.28760092073554,99.28760092073554,1.6880573645096613,0.009558092390874,"LINESTRING (-97.322363 37.676126, -97.321235 37.676111)",,,,,,,,C
122130815,122130825,0,13235645,residential,South Pattie Street,False,False,187.4786068397153,187.4786068397153,1.846132491610729,3.58081641161521e-05,"LINESTRING (-97.322363 37.676126, -97.322351 37.674722, -97.322352 37.67444)",,,,,,,,C
122130815,122218636,0,13243806,residential,East Indianapolis Street,False,True,114.42148983609655,114.42148983609655,1.8427556243695389,0.0030243008873597,"LINESTRING (-97.322363 37.676126, -97.322826 37.676133, -97.323663 37.676127)",,,,,,,,C
122130825,122130829,0,13235645,residential,South Pattie Street,False,False,128.09700856282876,128.09700856282876,1.7412273083709842,0.0004080532778996,"LINESTRING (-97.322352 37.67444, -97.322355 37.673288)",,,,,,,,C
122130825,122378594,0,13254854,residential,East Gilbert Street,False,False,99.45582995674066,99.45582995674066,1.7162185769204532,0.0115438838856724,"LINESTRING (-97.322352 37.67444, -97.321222 37.674448)",,,,,,,,C
122130825,122378593,0,13254854,residential,East Gilbert Street,False,True,101.3001376966969,101.3001376966969,1.6528899184586576,0.0142368321468701,"LINESTRING (-97.322352 37.67444, -97.323503 37.674441)",,,,,,,,C
122130825,122130815,0,13235645,residential,South Pattie Street,False,True,187.4786068397153,187.4786068397153,1.846132491610733,5.883288627603083e-05,"LINESTRING (-97.322352 37.67444, -97.322351 37.674722, -97.322363 37.676126)",,,,,,,,C
122130829,122130825,0,13235645,residential,South Pattie Street,False,True,128.09700856282876,128.09700856282876,1.7412273083709828,0.0006884174026224,"LINESTRING (-97.322355 37.673288, -97.322352 37.67444)",,,,,,,,C
