osmid,y,x,highway,street_count,railway,geometry
195645632,-34.5983588,-58.3882086,traffic_signals,4,,POINT (-58.3882086 -34.5983588)
195645645,-34.599384,-58.3881602,traffic_signals,4,,POINT (-58.3881602 -34.599384)
195645663,-34.6054426,-58.3893509,traffic_signals,4,,POINT (-58.3893509 -34.6054426)
195645679,-34.6055312,-58.3907869,traffic_signals,4,,POINT (-58.3907869 -34.6055312)
195645692,-34.6053561,-58.3878966,traffic_signals,4,,POINT (-58.3878966 -34.6053561)
195645708,-34.6052694,-58.3864857,traffic_signals,4,,POINT (-58.3864857 -34.6052694)
195645716,-34.6051761,-58.3850493,traffic_signals,4,,POINT (-58.3850493 -34.6051761)
195645729,-34.6050801,-58.3836279,traffic_signals,4,,POINT (-58.3836279 -34.6050801)
195720154,-34.610506,-58.3948055,traffic_signals,4,,POINT (-58.3948055 -34.610506)
195720172,-34.611689,-58.3947597,traffic_signals,4,,POINT (-58.3947597 -34.611689)
195720184,-34.6128456,-58.3947104,traffic_signals,4,,POINT (-58.3947104 -34.6128456)
195720207,-34.615111,-58.3946148,,4,,POINT (-58.3946148 -34.615111)
195720224,-34.6170594,-58.394556,,4,,POINT (-58.394556 -34.6170594)
195720244,-34.6195296,-58.3945001,,4,,POINT (-58.3945001 -34.6195296)
195720263,-34.6205426,-58.3945042,,4,,POINT (-58.3945042 -34.6205426)
195720282,-34.6169643,-58.3931976,traffic_signals,4,,POINT (-58.3931976 -34.6169643)
195720303,-34.6167853,-58.3903595,traffic_signals,4,,POINT (-58.3903595 -34.6167853)
195720311,-34.6156216,-58.3903895,traffic_signals,4,,POINT (-58.3903895 -34.6156216)
195720320,-34.6148286,-58.3903892,traffic_signals,4,,POINT (-58.3903892 -34.6148286)
195720336,-34.6125543,-58.3903623,traffic_signals,4,,POINT (-58.3903623 -34.6125543)
195720346,-34.6113911,-58.3903649,traffic_signals,4,,POINT (-58.3903649 -34.6113911)
195720364,-34.6112753,-58.3889566,traffic_signals,4,,POINT (-58.3889566 -34.6112753)
195720381,-34.6111812,-58.3874845,traffic_signals,4,,POINT (-58.3874845 -34.6111812)
195720399,-34.6123806,-58.3874914,traffic_signals,4,,POINT (-58.3874914 -34.6123806)
195720417,-34.6166826,-58.3858922,traffic_signals,4,,POINT (-58.3858922 -34.6166826)
195720434,-34.6186709,-58.3858638,traffic_signals,4,,POINT (-58.3858638 -34.6186709)
