u,v,key,osmid,bridge,highway,lanes,oneway,reversed,length,maxspeed,geometry,Inverse SP,Cost of return,Edge Betweenness,name,ref,tunnel,access,width,junction,Groups
122814435,122814440,0,13319238,,residential,,False,False,390.2239550280915,,"LINESTRING (-118.2773482 34.0260891, -118.277485 34.0261527, -118.2777143 34.0262503, -118.2778835 34.0263239, -118.2780221 34.0263886, -118.2786149 34.0266472, -118.2789847 34.0268148, -118.2793005 34.0269539, -118.2799254 34.0272291, -118.281016 34.0277093, -118.2810824 34.0277432)",390.2239550280914,1.5782408487954749,0.0006366571956005,West 28th Street,,,,,,C
122814435,123178841,0,398535456,,primary,6,False,True,36.35096355298848,30 mph,"LINESTRING (-118.2773482 34.0260891, -118.277402 34.026004, -118.2775312 34.0257995)",36.35096355298848,1.568876701130662,0.0039016321468602,South Figueroa Street,,,,,,B
122814435,6813513565,0,"[185399255, 1111712718, 1111712719]",,primary,"['5', '6']",False,False,58.59787565258316,30 mph,"LINESTRING (-118.2773482 34.0260891, -118.277297 34.0261691, -118.2772127 34.0263019, -118.2771638 34.0263783, -118.2771543 34.0263931, -118.277116 34.0264503, -118.2770464 34.0265529)",58.59787565258316,1.412851949584918,0.0043863631211694,South Figueroa Street,,,,,,B
122814440,6813416166,0,13319238,,residential,,False,False,118.3689314252518,,"LINESTRING (-118.2810824 34.0277432, -118.2813225 34.0278496, -118.2819591 34.0281316, -118.2822152 34.028245)",118.3689314252518,1.6982088258818706,0.0012344372522389,West 28th Street,,,,,,C
122814440,122814435,0,13319238,,residential,,False,True,390.2239550280914,,"LINESTRING (-118.2810824 34.0277432, -118.281016 34.0277093, -118.2799254 34.0272291, -118.2793005 34.0269539, -118.2789847 34.0268148, -118.2786149 34.0266472, -118.2780221 34.0263886, -118.2778835 34.0263239, -118.2777143 34.0262503, -118.277485 34.0261527, -118.2773482 34.0260891)",390.2239550280915,1.578240848795474,0.0006262038259098,West 28th Street,,,,,,C
122814440,9753040517,0,13353212,,residential,,False,False,134.3259938878495,,"LINESTRING (-118.2810824 34.0277432, -118.2811482 34.027675, -118.2814253 34.0272415, -118.281511 34.0271077, -118.2816985 34.0268154, -118.2817253 34.0267753, -118.2817844 34.0266861)",134.32599388784956,1.7114947644917229,0.0010314774452105,University Avenue,,,,,,C
122814440,6813513564,0,"[13294321, 1041867895]",,residential,,False,True,514.3317693033407,,"LINESTRING (-118.2810824 34.0277432, -118.2810134 34.0278083, -118.2809103 34.0279688, -118.2808529 34.0280582, -118.2807333 34.0282446, -118.280401 34.0287384, -118.2799245 34.0285375, -118.2792286 34.0282332, -118.2790508 34.0281529, -118.2788779 34.0280717, -118.2787095 34.0279959, -118.2785409 34.0279219, -118.2783446 34.0278347, -118.278 34.0276826, -118.2775072 34.0274644, -118.2774544 34.027441, -118.2773666 34.0274021, -118.2772393 34.0273456, -118.2772027 34.0273296, -118.2768413 34.0271719, -118.2768247 34.0271635, -118.2766951 34.0271042)",514.3317693033408,1.5782663798529308,0.0015764033854353,"['West 27th Street', 'University Avenue']",,,,,,C
122814447,6813416171,0,13319238,,residential,,False,True,52.04016735322868,,"LINESTRING (-118.283965 34.0289489, -118.283816 34.028949, -118.2834459 34.0287921)",52.04016735322868,1.5237137949025523,0.0011430583576393,West 28th Street,,,,,,C
122814447,6816193698,0,"[398803816, 398803829, 398803823]",,primary,"['4', '5']",False,True,44.722880855771706,35 mph,"LINESTRING (-118.283965 34.0289489, -118.2839645 34.0291118, -118.2839641 34.0292069, -118.2839647 34.0293511)",44.722880855771706,1.4910991157883249,0.0141770009188394,South Hoover Street,,,,,,B
122814447,6813405266,0,398803840,,primary,4,False,False,62.59276311417741,35 mph,"LINESTRING (-118.283965 34.0289489, -118.283965 34.0288313, -118.2839685 34.028386)",62.59276311417741,1.49006038281166,0.012836444346201,South Hoover Street,,,,,,B
122814819,605261804,0,161713692,,primary,5,False,False,21.23539271962697,35 mph,"LINESTRING (-118.2602532 34.0656151, -118.2602994 34.0658022)",21.23539271962697,1.64797283061148,0.0173003855649065,Glendale Boulevard,,,,,,B
122814819,122630055,0,13353869,,residential,2,False,True,103.55686981881315,,"LINESTRING (-118.2602532 34.0656151, -118.260137 34.0655648, -118.2592587 34.0651808)",103.55686981881315,1.783786521506196,0.0002057786932371,West Court Street,,,,,,C
122814819,122960901,0,161708000,,residential,,False,False,153.66922024138853,,"LINESTRING (-118.2602532 34.0656151, -118.260414 34.0656818, -118.260514 34.0657229, -118.260615 34.0657878, -118.2606973 34.0659165, -118.2607622 34.0660274, -118.2608673 34.0661265, -118.2611175 34.066409, -118.2613654 34.0666044)",153.66922024138853,1.6230843611683934,0.0004236551064534,West Court Street,,,,,,C
